--------- beginning of main
07-30 07:32:20.792 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:20.975 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:21.304 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:32:21.304 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:32:21.541 D/SKK     (12649): SKKEngine: processKey: code=75 char='K' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:21.541 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='k' kanjiKey=''
07-30 07:32:21.541 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKKanjiState kanji=true choose=false compose='k' kanjiKey=''
07-30 07:32:21.541 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='か'
07-30 07:32:21.541 D/SKK     (12649): FlickJP: cleanupState lastKey=-202 shiftBefore=true
07-30 07:32:21.833 D/SKK     (12649): SKKEngine: processKey: code=109 char='m' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='か'
07-30 07:32:21.834 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='m' kanjiKey='か'
07-30 07:32:21.834 D/SKK     (12649): SKKEngine: processKey: code=105 char='i' state=SKKKanjiState kanji=true choose=false compose='m' kanjiKey='か'
07-30 07:32:21.834 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='かみ'
07-30 07:32:21.834 D/SKK     (12649): FlickJP: cleanupState lastKey=-207 shiftBefore=false
07-30 07:32:22.123 D/SKK     (12649): SKKEngine: processKey: code=114 char='r' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='かみ'
07-30 07:32:22.123 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='r' kanjiKey='かみ'
07-30 07:32:22.123 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKKanjiState kanji=true choose=false compose='r' kanjiKey='かみ'
07-30 07:32:22.124 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='かみら'
07-30 07:32:22.124 D/SKK     (12649): FlickJP: cleanupState lastKey=-209 shiftBefore=false
07-30 07:32:22.350 D/SKK     (12649): SKKEngine: processKey: code=32 char=' ' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='かみら'
07-30 07:32:22.350 D/SKK     (12649): user dictionary: かみら -> null with null
07-30 07:32:22.357 D/SKK     (12649): SKKEngine: ->after state=SKKChooseState compose='' kanjiKey='かみら'
07-30 07:32:22.357 D/SKK     (12649): FlickJP: cleanupState lastKey=-1004 shiftBefore=false
07-30 07:32:22.964 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:23.167 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:23.918 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:23.918 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:23.918 D/SKK     (12649): SKKEngine: processKey: code=101 char='e' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:23.918 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:23.918 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:24.153 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:32:24.153 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:32:24.356 D/SKK     (12649): SKKEngine: processKey: code=75 char='K' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:24.357 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='k' kanjiKey=''
07-30 07:32:24.357 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKKanjiState kanji=true choose=false compose='k' kanjiKey=''
07-30 07:32:24.357 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='か'
07-30 07:32:24.357 D/SKK     (12649): FlickJP: cleanupState lastKey=-202 shiftBefore=true
07-30 07:32:24.611 D/SKK     (12649): SKKEngine: processKey: code=109 char='m' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='か'
07-30 07:32:24.611 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='m' kanjiKey='か'
07-30 07:32:24.611 D/SKK     (12649): SKKEngine: processKey: code=105 char='i' state=SKKKanjiState kanji=true choose=false compose='m' kanjiKey='か'
07-30 07:32:24.611 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='かみ'
07-30 07:32:24.611 D/SKK     (12649): FlickJP: cleanupState lastKey=-207 shiftBefore=false
07-30 07:32:24.889 D/SKK     (12649): SKKEngine: processKey: code=32 char=' ' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='かみ'
07-30 07:32:24.889 D/SKK     (12649): user dictionary: かみ -> null with null
07-30 07:32:24.896 D/SKK     (12649): SKKEngine: ->after state=SKKChooseState compose='' kanjiKey='かみ'
07-30 07:32:24.896 D/SKK     (12649): FlickJP: cleanupState lastKey=-1004 shiftBefore=false
07-30 07:32:25.436 D/SKK     (12649): SKKEngine: processKey: code=32 char=' ' state=SKKChooseState kanji=false choose=true compose='' kanjiKey='かみ'
07-30 07:32:25.436 D/SKK     (12649): SKKEngine: ->after state=SKKChooseState compose='' kanjiKey='かみ'
07-30 07:32:25.436 D/SKK     (12649): FlickJP: cleanupState lastKey=-1004 shiftBefore=false
07-30 07:32:26.257 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKChooseState kanji=false choose=true compose='' kanjiKey='かみ'
07-30 07:32:26.271 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
